species,genus,subfamily,family,suborder,order
Pteris_haenkeana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_hexagona,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pulchra,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_podophylla,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_orizabae,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_deflexa,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_muricata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_stridens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_decurrens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_muricatopedata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_livida,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_navarrensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_arborea,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_tripartita,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_finotii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_wallichiana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_longipes,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_nevillei,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_warburgii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_buchananii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pseudolonchitis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pallens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_barklyae,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_macilenta,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_saxatilis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_berteroana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_comans,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_litoralis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_microptera,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_tahuataensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_marquesensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_vieillardii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_laevis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_brasiliensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_denticulata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_congesta,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_leptophylla,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_lechleri,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_schwackeana,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_propinqua,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_angustata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pearcei,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_splendens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_exigua,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_amoena,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pseudoamoena,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_borneensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pellucens,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pteridioides,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_muricella,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_bella,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_schlechteri,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_angustipinnula,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_latipinna,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_austrotaiwanensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_arisanensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_kiuschiuensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_pseudowulaiensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_wulaiensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_natiensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_setulosocostulata,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_majestica,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_fauriei,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_kawabatae,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_boninensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_laurisilvicola,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_oshimensis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_minor,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_yakuinsularis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_linearis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_argyraea,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_perrottetii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_giasii,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
Pteris_aspericaulis,Pteris,Pteridoideae,Pteridaceae,Pteridineae,Polypodiales
